conv_path,mcp_path,relationship,note
./v5.json#/definitions/ToolResultBlockBase/properties/content,../_reference/mcp.json#/definitions/ToolResultContent/properties/content,structurally_similar,both are arrays of content items; MCP items via ContentBlock (union not expressed in our mcp.json); export uses ToolResultContentItem/ToolResultSearchItem/ToolResultLocalResource
./v5.json#/definitions/ToolResultBlockBase/properties/is_error,../_reference/mcp.json#/definitions/ToolResultContent/properties/isError,snake_cased,
./v5.json#/definitions/ToolResultBlockBase/properties/structured_content,../_reference/mcp.json#/definitions/ToolResultContent/properties/structuredContent,null_in_export,always null; structured output not yet surfaced in claude.ai export
./v5.json#/definitions/ToolResultBlockBase/properties/start_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/stop_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/flags,,envelope,always null in observed exports
./v5.json#/definitions/ToolResultBlockBase/properties/name,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/meta,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/message,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/integration_name,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/mcp_server_url,,envelope,always null in observed exports
./v5.json#/definitions/ToolResultBlockBase/properties/integration_icon_url,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/icon_name,,envelope,no MCP counterpart
./v5.json#/definitions/ToolResultBlockBase/properties/display_content,,envelope,no MCP counterpart; claude.ai UI rendering hint
./v5.json#/definitions/ToolResultContentItem,../_reference/mcp.json#/definitions/TextContent,structurally_similar,export adds uuid; MCP adds _meta/annotations; neither is a strict subset of the other
./v5.json#/definitions/ThinkingBlock,,export_only,no MCP counterpart; extended thinking not exposed via API to callers
./v5.json#/definitions/ThinkingBlock/properties/thinking,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/summaries,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/signature,,export_only,cryptographic signature for thinking block integrity
./v5.json#/definitions/ThinkingBlock/properties/cut_off,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/truncated,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/alternative_display_type,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/start_timestamp,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/stop_timestamp,,export_only,
./v5.json#/definitions/ThinkingBlock/properties/flags,,export_only,always null in observed exports
