cli_path,conv_path,mcp_path,relationship,note
./v1.json#/definitions/ToolResultBlock/properties/content,,../mcp.json#/definitions/ToolResultContent/properties/content,structurally_similar,"CLI: string or array. MCP: array of content items. Conv: structured via ToolResultContentItem/ToolResultSearchItem/ToolResultLocalResource."
./v1.json#/definitions/ThinkingBlock,../conversations/v6.json#/definitions/ThinkingBlock,,subset,"CLI: {type, thinking, signature}. Conv adds summaries/cut_off/truncated/alternative_display_type/start_timestamp/stop_timestamp/flags. No MCP counterpart — extended thinking is not exposed via MCP."
./v1.json#/definitions/ThinkingBlock/properties/type,../conversations/v6.json#/definitions/ThinkingBlock/properties/type,,identical,
./v1.json#/definitions/ThinkingBlock/properties/thinking,../conversations/v6.json#/definitions/ThinkingBlock/properties/thinking,,identical,
./v1.json#/definitions/ThinkingBlock/properties/signature,../conversations/v6.json#/definitions/ThinkingBlock/properties/signature,,identical,
./v1.json#/definitions/ImageBlock,,../mcp.json#/definitions/ImageContent,structurally_similar,"Both carry base64 image data but with different structure: CLI wraps in a source object {type, media_type, data}; MCP has top-level data and mimeType fields. No conversations export counterpart — images are not preserved in claude.ai exports."
./v1.json#/definitions/ImageBlock/properties/type,,../mcp.json#/definitions/ImageContent/properties/type,identical,
./v1.json#/definitions/ImageBlock/properties/source,,,cli_only,"Nested source object {type: base64, media_type, data}. MCP uses top-level data + mimeType instead."
./v1.json#/definitions/UserMessage/properties/role,../conversations/v6.json#/definitions/Message/properties/sender,,name_collision,"CLI uses role: user (API convention); conv uses sender: human (UI convention). Both identify the human turn."
./v1.json#/definitions/AssistantMessage/properties/role,../conversations/v6.json#/definitions/Message/properties/sender,,name_collision,"CLI uses role: assistant (API convention); conv uses sender: assistant. Same value."
./v1.json#/definitions/AssistantMessage/properties/stop_reason,,,cli_only,"Full API response field. Stripped from claude.ai export (stop_reason is not present in conversations schema). No MCP counterpart."
./v1.json#/definitions/AssistantMessage/properties/usage,,,cli_only,"Full API usage object including cache metrics. Stripped from claude.ai export. No MCP counterpart."
./v1.json#/definitions/TurnBase/properties/cwd,,,cli_only,"Working directory at turn time. Session management envelope with no MCP or conversations export counterpart."
./v1.json#/definitions/TurnBase/properties/gitBranch,,,cli_only,"Git branch at turn time. Session management envelope with no MCP or conversations export counterpart."
./v1.json#/definitions/TurnBase/properties/parentUuid,../conversations/v6.json#/definitions/Message/properties/parent_message_uuid,,structurally_similar,"Both thread conversations as a linked list. CLI uses parentUuid (UuidV4); conv uses parent_message_uuid (UuidV4 sentinel or UuidV7). No MCP counterpart — MCP is stateless."
./v1.json#/definitions/TurnBase/properties/isSidechain,,,cli_only,"Subagent conversation flag. No MCP or conversations export counterpart."
./v1.json#/definitions/TurnBase/properties/uuid,../conversations/v6.json#/definitions/Message/properties/uuid,,structurally_similar,"Both assign a UUID to each message. CLI uses UuidV4; conv uses UuidV7."
./v1.json#/definitions/TurnBase/properties/sessionId,,,cli_only,"Identifies the local CLI session. No MCP or conversations export counterpart (conversations export uses conversation uuid at the Conversation level)."
./v1.json#/definitions/MessageContent,../conversations/v6.json#/definitions/Message/properties/content,,structurally_similar,"CLI: string or array of ContentBlock. Conv: array only (always structured). The string shorthand is CLI-specific for short user prompts."
